name,ricosCode,country,sector,limitType,maxAmount,usedAmount,currency
BNP PARIBAS,RICOS48213,FR,Banking,CREDIT,50000000,32000000,EUR
DEUTSCHE BANK AG,RICOS72905,DE,Banking,MARKET,20000000,18500000,EUR
GOLDMAN SACHS,RICOS36180,US,Banking,LIQUIDITY,15000000,4200000,USD
SOCIETE GENERALE,RICOS91427,FR,Banking,CREDIT,30000000,29500000,EUR
TOTALENERGIES SE,RICOS05364,FR,Energy,CREDIT,25000000,15000000,EUR
SHELL PLC,RICOS68792,UK,Energy,MARKET,18000000,17200000,GBP
AIRBUS SE,RICOS23951,FR,Industrials,CREDIT,12000000,5400000,EUR
MICROSOFT CORP,RICOS87046,US,Technology,LIQUIDITY,40000000,10000000,USD
APPLE INC,RICOS14638,US,Technology,CREDIT,35000000,24000000,USD
UNICREDIT SPA,RICOS59217,IT,Banking,MARKET,10000000,9500000,EUR
CREDIT SUISSE FINANCE,RICOS30874,CH,Banking,CREDIT,20000000,16000000,CHF
