name,ricosCode,country,sector,limitType,maxAmount,usedAmount,currency
BNP PARIBAS,RICOS48213,FR,Banking,CREDIT,50000000,32000000,EUR
DEUTSCHE BANK AG,RICOS72905,DE,Banking,MARKET,20000000,18500000,EUR
,RICOS00001,FR,Banking,CREDIT,10000000,5000000,EUR
GOLDMAN SACHS,,US,Banking,LIQUIDITY,15000000,4200000,USD
SOCIETE GENERALE,RICOS91427,,Banking,CREDIT,30000000,29500000,EUR
TOTALENERGIES SE,RICOS05364,FR,,CREDIT,25000000,15000000,EUR
SHELL PLC,RICOS68792,UK,Energy,INVALID_TYPE,18000000,17200000,GBP
AIRBUS SE,RICOS23951,FR,Industrials,CREDIT,not_a_number,5400000,EUR
MICROSOFT CORP,RICOS87046,US,Technology,LIQUIDITY,40000000,abc,USD
APPLE INC,RICOS14638,US,Technology,CREDIT,-35000000,24000000,USD
UNICREDIT SPA,RICOS59217,IT,Banking,MARKET,0,9500000,EUR
CREDIT SUISSE FINANCE,RICOS30874,CH,Banking,CREDIT,20000000,-16000000,CHF
SANTANDER SA,RICOS41058,ES,Banking,CREDIT,28000000,19600000,
LVMH,RICOS62719,FR,Retail,CREDIT,22000000,15400000,EUR
NESTLE SA,RICOS53916,CH,Consumer,CREDIT,19000000,7600000,CHF
